t_ms,left_pwm,right_pwm,left_counts,right_counts,left_rate,right_rate
0,600,600,51,62,0.00,0.00
30,600,600,91,109,4000.00,4700.00
68,600,600,152,180,6100.00,7100.00
107,600,600,223,260,7100.00,8000.00
147,600,600,302,347,7900.00,8700.00
187,600,600,383,438,8100.00,9100.00
227,600,600,466,532,8300.00,9400.00
267,600,600,550,627,8400.00,9500.00
307,600,600,635,723,8500.00,9600.00
347,600,600,723,820,8800.00,9700.00
387,600,600,811,917,8800.00,9700.00
427,600,600,899,1016,8800.00,9900.00
468,600,600,992,1118,9300.00,10200.00
510,600,600,1087,1223,9500.00,10500.00
553,600,600,1186,1332,9900.00,10900.00
596,600,600,1285,1440,9900.00,10800.00
639,600,600,1383,1548,9800.00,10800.00
682,600,600,1482,1655,9900.00,10700.00
725,600,600,1580,1763,9800.00,10800.00
768,600,600,1681,1873,10100.00,11000.00
813,600,600,1785,1989,10400.00,11600.00
858,600,600,1891,2105,10600.00,11600.00
903,600,600,1998,2221,10700.00,11600.00
948,600,600,2104,2336,10600.00,11500.00
993,600,600,2209,2449,10500.00,11300.00
1038,500,700,2314,2564,10500.00,11500.00
1084,500,700,2417,2702,10300.00,13800.00
1129,500,700,2511,2861,9400.00,15900.00
1173,500,700,2599,3029,8800.00,16800.00
1218,500,700,2687,3206,8800.00,17700.00
1263,500,700,2772,3388,8500.00,18200.00
1308,500,700,2856,3573,8400.00,18500.00
1353,500,700,2936,3761,8000.00,18800.00
1398,500,700,3015,3950,7900.00,18900.00
1443,500,700,3093,4137,7800.00,18700.00
1488,500,700,3169,4326,7600.00,18900.00
1533,500,700,3245,4516,7600.00,19000.00
1578,500,700,3317,4705,7200.00,18900.00
1623,500,700,3389,4893,7200.00,18800.00
1668,500,700,3461,5082,7200.00,18900.00
1713,500,700,3531,5272,7000.00,19000.00
1757,500,700,3600,5458,6900.00,18600.00
1801,600,600,3668,5643,6800.00,18500.00
1845,600,600,3743,5821,7500.00,17800.00
1889,600,600,3829,5989,8600.00,16800.00
1933,600,600,3922,6148,9300.00,15900.00
1978,600,600,4019,6301,9700.00,15300.00
2023,600,600,4121,6446,10200.00,14500.00
2069,600,600,4227,6587,10600.00,14100.00
2114,600,600,4332,6721,10500.00,13400.00
2159,600,600,4437,6849,10500.00,12800.00
2204,600,600,4543,6976,10600.00,12700.00
2249,600,600,4647,7100,10400.00,12400.00
2294,600,600,4751,7220,10400.00,12000.00
2339,600,600,4857,7338,10600.00,11800.00
2384,600,600,4960,7456,10300.00,11800.00
2429,600,600,5061,7573,10100.00,11700.00
2474,600,600,5162,7689,10100.00,11600.00
2519,600,600,5263,7805,10100.00,11600.00
2564,600,600,5362,7921,9900.00,11600.00
2608,600,600,5460,8032,9800.00,11100.00
2653,600,600,5562,8145,10200.00,11300.00
2699,600,600,5667,8259,10500.00,11400.00
2744,600,600,5771,8373,10400.00,11400.00
2789,600,600,5875,8486,10400.00,11300.00
2834,600,600,5979,8601,10400.00,11500.00
2879,600,600,6085,8717,10600.00,11600.00
2924,600,600,6189,8833,10400.00,11600.00
2969,600,600,6293,8946,10400.00,11300.00
