t_ms,left_pwm,right_pwm,left_counts,right_counts,left_rate,right_rate
0,600,600,66,67,0.00,0.00
30,600,600,115,116,4900.00,4900.00
69,600,600,178,181,6300.00,6500.00
108,600,600,249,250,7100.00,6900.00
148,600,600,329,328,8000.00,7800.00
188,600,600,411,409,8200.00,8100.00
228,600,600,498,495,8700.00,8600.00
268,600,600,589,584,9100.00,8900.00
308,600,600,681,676,9200.00,9200.00
348,600,600,773,769,9200.00,9300.00
388,600,600,865,863,9200.00,9400.00
428,600,600,961,962,9600.00,9900.00
468,600,600,1062,1065,10100.00,10300.00
512,600,600,1172,1174,11000.00,10900.00
556,600,600,1282,1286,11000.00,11200.00
600,600,600,1393,1398,11100.00,11200.00
644,600,600,1505,1510,11200.00,11200.00
689,600,600,1618,1623,11300.00,11300.00
734,600,600,1731,1737,11300.00,11400.00
779,600,600,1845,1848,11400.00,11100.00
824,600,600,1957,1959,11200.00,11100.00
869,600,600,2069,2070,11200.00,11100.00
914,600,600,2181,2180,11200.00,11000.00
959,600,600,2292,2291,11100.00,11100.00
1004,500,700,2401,2402,10900.00,11100.00
1050,500,700,2506,2537,10500.00,13500.00
1095,500,700,2602,2692,9600.00,15500.00
1139,500,700,2688,2855,8600.00,16300.00
1184,500,700,2774,3031,8600.00,17600.00
1229,500,700,2857,3212,8300.00,18100.00
1274,500,700,2935,3398,7800.00,18600.00
1319,500,700,3012,3584,7700.00,18600.00
1364,500,700,3085,3772,7300.00,18800.00
1409,500,700,3158,3963,7300.00,19100.00
1454,500,700,3226,4154,6800.00,19100.00
1499,500,700,3290,4343,6400.00,18900.00
1544,500,700,3353,4532,6300.00,18900.00
1589,500,700,3414,4721,6100.00,18900.00
1634,500,700,3474,4910,6000.00,18900.00
1679,500,700,3534,5100,6000.00,19000.00
1723,500,700,3592,5284,5800.00,18400.00
1767,500,700,3650,5470,5800.00,18600.00
1811,500,700,3704,5656,5400.00,18600.00
1855,500,700,3759,5843,5500.00,18700.00
1899,500,700,3814,6028,5500.00,18500.00
1944,500,700,3870,6218,5600.00,19000.00
1989,500,700,3925,6410,5500.00,19200.00
2034,500,700,3978,6601,5300.00,19100.00
2079,500,700,4030,6792,5200.00,19100.00
2124,500,700,4082,6981,5200.00,18900.00
2169,500,700,4132,7173,5000.00,19200.00
2214,500,700,4183,7365,5100.00,19200.00
2259,500,700,4233,7557,5000.00,19200.00
2304,500,700,4282,7746,4900.00,18900.00
2349,500,700,4332,7937,5000.00,19100.00
2394,500,700,4382,8129,5000.00,19200.00
2439,500,700,4431,8320,4900.00,19100.00
2484,500,700,4480,8510,4900.00,19000.00
2529,500,700,4529,8702,4900.00,19200.00
2574,500,700,4578,8893,4900.00,19100.00
2619,500,700,4630,9086,5200.00,19300.00
2664,500,700,4681,9276,5100.00,19000.00
2709,500,700,4733,9467,5200.00,19100.00
2754,500,700,4782,9658,4900.00,19100.00
2799,500,700,4830,9848,4800.00,19000.00
2844,500,700,4878,10037,4800.00,18900.00
2890,500,700,4929,10229,5100.00,19200.00
2935,500,700,4978,10420,4900.00,19100.00
2980,500,700,5027,10611,4900.00,19100.00
3025,500,700,5075,10800,4800.00,18900.00
3070,500,700,5124,10989,4900.00,18900.00
3115,500,700,5175,11180,5100.00,19100.00
3160,500,700,5225,11372,5000.00,19200.00
3205,500,700,5275,11563,5000.00,19100.00
3250,500,700,5325,11752,5000.00,18900.00
3295,500,700,5377,11942,5200.00,19000.00
3340,500,700,5428,12132,5100.00,19000.00
3385,500,700,5479,12324,5100.00,19200.00
3430,500,700,5530,12514,5100.00,19000.00
3475,500,700,5580,12704,5000.00,19000.00
3520,600,600,5628,12895,4800.00,19100.00
