t_ms,left_pwm,right_pwm,gyro_z,left_counts,right_counts,left_rate,right_rate
0,600,600,0.117,74,75,0.00,0.00
37,600,600,0.117,134,134,6000.00,5900.00
83,600,600,0.117,209,208,7500.00,7400.00
129,600,600,0.117,295,292,8600.00,8400.00
176,600,600,0.117,389,384,9400.00,9200.00
223,600,600,0.117,488,482,9900.00,9800.00
270,600,600,0.117,591,585,10300.00,10300.00
319,600,600,0.117,699,692,10800.00,10700.00
368,600,600,0.117,810,795,11100.00,10300.00
417,600,600,0.117,920,896,11000.00,10100.00
466,600,600,0.117,1040,1008,12000.00,11200.00
517,600,600,0.117,1162,1121,12200.00,11300.00
568,600,600,0.117,1284,1237,12200.00,11600.00
619,600,600,0.117,1406,1356,12200.00,11900.00
670,600,600,0.117,1528,1475,12200.00,11900.00
721,600,600,0.117,1651,1589,12300.00,11400.00
772,600,600,0.117,1773,1702,12200.00,11300.00
823,600,600,0.117,1897,1815,12400.00,11300.00
874,600,600,0.117,2020,1928,12300.00,11300.00
925,600,600,0.117,2144,2045,12400.00,11700.00
976,600,600,0.117,2267,2165,12300.00,12000.00
1027,500,700,0.117,2391,2287,12400.00,12200.00
1079,500,700,0.117,2513,2432,12200.00,14500.00
1131,500,700,0.117,2627,2606,11400.00,17400.00
1183,500,700,0.117,2733,2795,10600.00,18900.00
1235,500,700,0.117,2834,2993,10100.00,19800.00
1287,500,700,0.117,2928,3195,9400.00,20200.00
1338,500,700,0.117,3018,3392,9000.00,19700.00
1389,500,700,0.117,3101,3589,8300.00,19700.00
1440,500,700,0.117,3183,3789,8200.00,20000.00
1491,500,700,0.117,3262,3992,7900.00,20300.00
1542,500,700,0.117,3339,4192,7700.00,20000.00
1593,500,700,0.117,3413,4392,7400.00,20000.00
1644,500,700,0.117,3486,4594,7300.00,20200.00
1695,500,700,0.117,3555,4797,6900.00,20300.00
1746,500,700,0.117,3624,4997,6900.00,20000.00
1797,500,700,0.117,3689,5196,6500.00,19900.00
1848,500,700,0.117,3753,5398,6400.00,20200.00
1899,500,700,0.117,3816,5600,6300.00,20200.00
1950,500,700,0.117,3880,5799,6400.00,19900.00
2001,500,700,0.117,3941,5997,6100.00,19800.00
2052,500,700,0.117,4003,6195,6200.00,19800.00
2103,500,700,0.117,4064,6394,6100.00,19900.00
2154,500,700,0.117,4124,6590,6000.00,19600.00
2205,500,700,0.117,4183,6786,5900.00,19600.00
2256,500,700,0.117,4244,6984,6100.00,19800.00
2307,500,700,0.117,4305,7185,6100.00,20100.00
2358,500,700,0.117,4367,7384,6200.00,19900.00
2409,500,700,0.117,4428,7584,6100.00,20000.00
2460,500,700,0.117,4488,7786,6000.00,20200.00
2511,500,700,0.117,4549,7992,6100.00,20600.00
2562,500,700,0.117,4608,8192,5900.00,20000.00
2613,500,700,0.117,4668,8392,6000.00,20000.00
2664,500,700,0.117,4727,8592,5900.00,20000.00
2715,500,700,0.117,4785,8795,5800.00,20300.00
2766,500,700,0.117,4844,8993,5900.00,19800.00
2817,500,700,0.117,4901,9191,5700.00,19800.00
2868,500,700,0.117,4957,9389,5600.00,19800.00
2919,500,700,0.117,5015,9590,5800.00,20100.00
2970,500,700,0.117,5072,9788,5700.00,19800.00
3021,500,700,0.117,5129,9987,5700.00,19900.00
3072,500,700,0.117,5184,10184,5500.00,19700.00
3124,500,700,0.117,5240,10390,5600.00,20600.00
3176,500,700,0.117,5295,10593,5500.00,20300.00
3228,500,700,0.117,5351,10796,5600.00,20300.00
3280,500,700,0.117,5405,10998,5400.00,20200.00
3332,500,700,0.117,5460,11204,5500.00,20600.00
3384,500,700,0.117,5514,11406,5400.00,20200.00
3436,500,700,0.117,5571,11608,5700.00,20200.00
3488,500,700,0.117,5626,11809,5500.00,20100.00
3540,600,600,0.117,5680,12013,5400.00,20400.00
