t_ms,left_cmd,right_cmd,gyro_z,left_cnt,right_cnt
2,0,0,-0.008,0,0
23,0,0,0.038,0,0
44,0,0,0.022,0,0
65,0,0,-0.054,0,0
87,0,0,0.038,0,0
108,0,0,-0.069,0,0
131,0,0,0.083,0,0
153,0,0,0.007,0,0
175,0,0,0.022,0,0
197,0,0,0.053,0,0
219,0,0,0.038,0,0
241,0,0,-0.054,0,0
264,0,0,-0.085,0,0
287,0,0,-0.176,0,0
310,0,0,0.083,0,0
332,0,0,0.083,0,0
354,0,0,-0.115,0,0
377,0,0,0.007,0,0
399,0,0,0.038,0,0
421,0,0,0.068,0,0
443,0,0,0.007,0,0
465,0,0,-0.008,0,0
488,0,0,0.038,0,0
510,0,0,0.022,0,0
532,0,0,0.053,0,0
554,0,0,-0.039,0,0
577,0,0,0.022,0,0
599,0,0,-0.130,0,0
622,0,0,0.083,0,0
644,0,0,-0.039,0,0
667,0,0,-0.054,0,0
690,0,0,0.022,0,0
712,0,0,0.038,0,0
734,0,0,0.129,0,0
756,0,0,0.175,0,0
778,0,0,-0.039,0,0
801,0,0,0.038,0,0
823,0,0,-0.039,0,0
846,0,0,0.022,0,0
868,0,0,-0.039,0,0
891,0,0,0.083,0,0
913,0,0,0.175,0,0
935,0,0,-0.054,0,0
958,0,0,0.022,0,0
980,0,0,0.205,0,0
1002,-580,820,0.083,0,0
1030,-580,820,95.671,9,-31
1061,-580,820,200.541,32,-112
1095,-580,820,264.373,65,-234
1129,-580,820,286.694,102,-374
1164,-580,820,306.725,144,-528
1199,-580,820,314.160,187,-686
1234,-580,820,317.763,231,-849
1269,-580,820,326.328,277,-1014
1305,-580,820,321.122,324,-1184
1341,-580,820,324.480,372,-1355
1377,-580,820,326.282,420,-1526
1413,-580,820,324.633,468,-1697
1449,-580,820,329.244,518,-1867
1485,-580,820,332.786,566,-2037
1521,-580,820,331.976,614,-2208
1557,-580,820,322.236,663,-2379
1593,-580,820,327.320,710,-2550
1629,-580,820,324.847,757,-2721
1665,-580,820,324.236,803,-2892
1701,-580,820,320.404,849,-3064
1737,-580,820,324.938,895,-3233
1773,-580,820,327.381,940,-3403
1809,-580,820,327.427,986,-3575
1845,-580,820,323.152,1033,-3746
1882,-580,820,320.053,1080,-3923
1919,-580,820,324.358,1127,-4099
1956,-580,820,328.221,1174,-4276
1993,-580,820,326.038,1222,-4452
2030,-580,820,322.954,1270,-4629
2067,-580,820,332.923,1318,-4804
2104,-580,820,330.633,1365,-4981
2141,-580,820,330.236,1411,-5158
2178,-580,820,326.541,1458,-5335
2215,-580,820,330.190,1506,-5512
2252,-580,820,330.251,1553,-5689
2289,-580,820,329.534,1601,-5865
2326,-580,820,325.076,1649,-6041
2363,-580,820,332.984,1697,-6216
2400,-580,820,331.747,1746,-6391
2437,-580,820,325.122,1796,-6568
2474,-580,820,331.946,1845,-6745
2511,0,0,327.335,1896,-6922
2543,0,0,305.793,1933,-7068
2575,0,0,268.251,1959,-7201
2607,0,0,215.976,1975,-7323
2639,0,0,173.289,1978,-7433
2671,0,0,164.083,1978,-7530
2703,0,0,143.228,1978,-7614
2735,0,0,121.137,1978,-7688
2767,0,0,96.908,1978,-7752
2798,0,0,90.908,1978,-7802
2829,0,0,76.526,1978,-7841
2860,0,0,46.587,1978,-7873
2891,0,0,27.167,1978,-7897
2922,0,0,23.732,1978,-7911
2953,0,0,8.312,1978,-7916
2983,0,0,-1.199,1978,-7915
3014,0,0,-0.161,1978,-7914
3045,0,0,0.053,1978,-7914
3075,0,0,0.099,1978,-7914
3105,0,0,-0.100,1978,-7914
3136,0,0,0.038,1978,-7914
3166,0,0,-0.039,1978,-7914
3197,0,0,-0.008,1978,-7914
3228,0,0,0.038,1978,-7914
3258,0,0,-0.008,1978,-7914
3289,0,0,-0.085,1978,-7914
3320,0,0,0.144,1978,-7914
3350,0,0,-0.100,1978,-7914
3381,0,0,0.038,1978,-7914
3411,0,0,0.007,1978,-7914
3441,0,0,-0.008,1978,-7914
3472,0,0,0.160,1978,-7914
