t_ms,left_cmd,right_cmd,gyro_z,left_cnt,right_cnt
2,0,0,-0.054,0,0
23,0,0,-0.145,0,0
45,0,0,-0.099,0,0
67,0,0,-0.160,0,0
89,0,0,-0.130,0,0
111,0,0,-0.191,0,0
134,0,0,-0.023,0,0
157,0,0,-0.038,0,0
180,0,0,-0.145,0,0
203,0,0,-0.038,0,0
226,0,0,-0.130,0,0
249,0,0,-0.145,0,0
272,0,0,-0.115,0,0
295,0,0,-0.008,0,0
318,0,0,-0.130,0,0
341,0,0,0.038,0,0
363,0,0,-0.038,0,0
386,0,0,-0.069,0,0
409,0,0,-0.099,0,0
432,0,0,0.038,0,0
454,0,0,-0.038,0,0
477,0,0,-0.008,0,0
500,0,0,-0.008,0,0
523,0,0,0.145,0,0
545,0,0,-0.008,0,0
568,0,0,-0.145,0,0
591,0,0,-0.054,0,0
614,0,0,-0.145,0,0
637,0,0,0.007,0,0
659,0,0,0.038,0,0
681,0,0,-0.038,0,0
704,0,0,-0.023,0,0
727,0,0,0.007,0,0
749,0,0,0.084,0,0
771,0,0,0.007,0,0
793,0,0,0.007,0,0
815,0,0,-0.130,0,0
838,0,0,-0.008,0,0
861,0,0,-0.160,0,0
884,0,0,-0.054,0,0
907,0,0,-0.069,0,0
930,0,0,-0.008,0,0
953,0,0,-0.145,0,0
976,0,0,-0.023,0,0
999,0,0,-0.023,0,0
1022,-580,820,-0.008,0,0
1051,-580,820,100.801,8,-35
1083,-580,820,197.870,32,-121
1117,-580,820,265.885,67,-244
1151,-580,820,295.626,107,-385
1186,-580,820,313.504,152,-540
1221,-580,820,319.137,198,-699
1256,-580,820,327.351,244,-861
1291,-580,820,315.549,290,-1026
1327,-580,820,325.977,337,-1196
1363,-580,820,319.107,383,-1367
1399,-580,820,325.183,430,-1538
1435,-580,820,322.878,477,-1709
1471,-580,820,328.908,523,-1880
1507,-580,820,326.343,570,-2050
1543,-580,820,328.786,616,-2220
1579,-580,820,327.901,663,-2391
1615,-580,820,330.328,709,-2563
1651,-580,820,326.786,757,-2735
1687,-580,820,323.717,804,-2907
1723,-580,820,330.053,851,-3079
1759,-580,820,331.107,898,-3251
1795,-580,820,330.649,946,-3422
1831,-580,820,325.870,992,-3594
1867,-580,820,335.488,1037,-3765
1904,-580,820,327.962,1085,-3942
1941,-580,820,329.595,1132,-4119
1978,-580,820,321.916,1179,-4296
2015,-580,820,328.114,1226,-4473
2052,-580,820,327.656,1274,-4651
2089,-580,820,331.626,1321,-4828
2126,-580,820,328.236,1369,-5005
2163,-580,820,331.061,1417,-5182
2200,-580,820,331.259,1465,-5359
2237,-580,820,326.954,1514,-5536
2274,-580,820,326.985,1563,-5713
2311,-580,820,327.794,1613,-5890
2348,-580,820,324.801,1662,-6067
2385,-580,820,324.496,1711,-6242
2422,-580,820,332.557,1759,-6418
2459,-580,820,333.992,1807,-6593
2496,-580,820,325.366,1855,-6770
2533,0,0,324.023,1903,-6947
2565,0,0,293.153,1939,-7093
2597,0,0,257.259,1963,-7226
2629,0,0,209.107,1975,-7347
2661,0,0,168.542,1977,-7457
2693,0,0,164.878,1977,-7554
2725,0,0,138.572,1977,-7639
2757,0,0,121.382,1977,-7713
2789,0,0,97.580,1977,-7774
2820,0,0,80.359,1977,-7823
2851,0,0,64.450,1977,-7862
2882,0,0,47.183,1977,-7892
2913,0,0,30.725,1977,-7911
2944,0,0,8.038,1977,-7919
2974,0,0,-0.573,1977,-7919
3005,0,0,-0.160,1977,-7919
3036,0,0,-0.267,1977,-7919
3067,0,0,-0.099,1977,-7919
3098,0,0,-0.069,1977,-7919
3129,0,0,-0.145,1977,-7919
3160,0,0,0.007,1977,-7919
3190,0,0,-0.145,1977,-7919
3221,0,0,-0.176,1977,-7919
3252,0,0,-0.054,1977,-7919
3283,0,0,-0.176,1977,-7919
3314,0,0,-0.038,1977,-7919
3345,0,0,-0.115,1977,-7919
3376,0,0,-0.130,1977,-7919
3407,0,0,-0.130,1977,-7919
3438,0,0,-0.176,1977,-7919
3469,0,0,0.007,1977,-7919
3499,0,0,-0.084,1977,-7919
