t_ms,left_pwm,right_pwm,gyro_z,left_counts,right_counts,left_rate,right_rate
0,700,700,-1.394,-117,-117,0.00,0.00
42,700,700,0.499,-221,-220,-20800.00,-20600.00
94,700,700,-1.791,-369,-368,-29600.00,-29600.00
147,700,700,-0.127,-531,-530,-32400.00,-32400.00
201,700,700,-0.524,-700,-699,-33800.00,-33800.00
255,700,700,0.774,-872,-871,-34400.00,-34400.00
308,700,700,-1.547,-1043,-1042,-34200.00,-34200.00
364,700,700,-3.669,-1224,-1223,-36200.00,-36200.00
420,700,700,-2.280,-1407,-1406,-36600.00,-36600.00
476,700,700,8.575,-1590,-1589,-36600.00,-36600.00
531,700,700,3.018,-1769,-1768,-35800.00,-35800.00
586,700,700,4.667,-1946,-1947,-35400.00,-35800.00
641,700,700,2.560,-2123,-2127,-35400.00,-36000.00
696,700,700,2.545,-2304,-2306,-36200.00,-35800.00
751,700,700,-9.089,-2484,-2487,-36000.00,-36200.00
807,700,700,1.033,-2667,-2671,-36600.00,-36800.00
862,700,700,2.651,-2848,-2851,-36200.00,-36000.00
917,700,700,4.193,-3031,-3034,-36600.00,-36600.00
972,700,700,-4.707,-3214,-3217,-36600.00,-36600.00
1028,500,900,0.804,-3399,-3403,-37000.00,-37200.00
1084,500,900,72.728,-3571,-3621,-34400.00,-43600.00
1141,500,900,109.186,-3720,-3877,-29800.00,-51200.00
1199,500,900,138.972,-3853,-4147,-26600.00,-54000.00
1257,500,900,145.995,-3969,-4420,-23200.00,-54600.00
1315,500,900,167.949,-4073,-4694,-20800.00,-54800.00
1373,500,900,169.567,-4168,-4970,-19000.00,-55200.00
1431,500,900,171.338,-4256,-5244,-17600.00,-54800.00
1489,500,900,185.155,-4337,-5519,-16200.00,-55000.00
1547,500,900,187.323,-4413,-5795,-15200.00,-55200.00
1605,500,900,188.743,-4486,-6073,-14600.00,-55600.00
1663,500,900,190.697,-4557,-6350,-14200.00,-55400.00
1721,500,900,192.697,-4623,-6625,-13200.00,-55000.00
1779,500,900,201.155,-4687,-6902,-12800.00,-55400.00
1837,500,900,203.537,-4748,-7178,-12200.00,-55200.00
1895,500,900,196.331,-4809,-7455,-12200.00,-55400.00
1953,500,900,195.201,-4871,-7732,-12400.00,-55400.00
2011,500,900,197.354,-4932,-8007,-12200.00,-55000.00
2069,500,900,197.003,-4992,-8283,-12000.00,-55200.00
2127,500,900,198.545,-5051,-8558,-11800.00,-55000.00
2185,500,900,205.567,-5111,-8834,-12000.00,-55200.00
