t_ms,u,e,L,FL,FR,Lpwm,Rpwm,left_cnt,right_cnt
2,0.000000,0.086221,22,3,0,650,650,0,0
47,0.000000,0.086221,22,2,0,650,650,-36,-37
97,0.000000,0.086221,22,3,0,650,650,-105,-111
149,0.000000,0.041770,21,2,0,650,650,-184,-201
202,0.000000,0.041770,21,2,0,650,650,-265,-291
255,0.000000,0.041770,21,2,0,650,650,-355,-385
308,0.000000,0.041770,21,3,0,650,650,-459,-487
361,0.000000,0.086221,22,3,0,650,650,-570,-598
414,0.000000,0.086221,22,3,0,650,650,-682,-710
467,0.000000,0.128781,23,4,0,650,650,-796,-823
520,0.000000,0.128781,23,4,0,650,650,-914,-941
573,0.000000,0.128781,23,4,0,650,650,-1033,-1061
628,0.000000,0.169603,24,4,0,650,650,-1158,-1187
683,0.000000,0.169603,24,4,0,650,650,-1282,-1310
738,0.000000,0.169603,24,4,0,650,650,-1410,-1438
793,0.000000,0.169603,24,4,0,650,650,-1538,-1567
848,0.000000,0.169603,24,4,0,650,650,-1667,-1695
903,0.000000,0.169603,24,4,0,650,650,-1797,-1827
958,0.000000,0.208823,25,4,0,650,650,-1923,-1963
1013,0.300000,0.208823,25,3,0,500,800,-2040,-2103
1069,0.300000,0.351924,29,3,0,500,800,-2131,-2281
1125,0.300000,0.384714,30,4,0,500,800,-2193,-2491
1181,0.300000,0.384714,30,4,0,500,800,-2251,-2710
1237,0.300000,0.447235,32,5,1,500,800,-2310,-2932
1293,0.300000,0.534246,35,7,2,500,800,-2352,-3159
1349,0.300000,0.477087,33,12,4,500,800,-2365,-3395
1406,0.300000,0.561645,36,18,8,500,800,-2367,-3641
1463,0.300000,0.614289,38,26,15,500,800,-2367,-3885
1521,0.300000,0.561645,36,32,27,500,800,-2367,-4126
1579,0.300000,0.477087,33,37,47,500,800,-2367,-4365
1637,0.300000,0.384714,30,37,71,500,800,-2367,-4604
1695,0.300000,0.246564,26,33,95,500,800,-2371,-4858
1753,0.300000,0.128781,23,27,109,500,800,-2385,-5118
1812,0.300000,0.041770,21,20,105,500,800,-2409,-5385
1871,0.300000,-0.004750,20,14,86,500,800,-2446,-5653
1930,0.300000,-0.004750,20,9,60,500,800,-2493,-5917
1988,0.300000,-0.053541,19,6,32,500,800,-2541,-6173
2046,0.300000,-0.053541,19,5,11,500,800,-2594,-6430
2104,0.300000,-0.053541,19,5,3,500,800,-2651,-6684
2161,0.300000,-0.004750,20,4,1,500,800,-2707,-6927
2218,0.300000,-0.004750,20,5,2,500,800,-2763,-7167
2275,0.300000,-0.004750,20,5,2,500,800,-2821,-7408
2332,0.300000,-0.004750,20,5,2,500,800,-2881,-7645
2389,0.300000,-0.004750,20,5,2,500,800,-2941,-7885
